,0,1,2,3,4,5
258,그랜저 IG,2.4 익스클루시브 스페셜,18/11식(19년형),"56,579km",가솔린,"2,499"
259,그랜저 HG,HG300 익스클루시브,15/01식,"142,305km",가솔린,"1,145"
260,그랜저 IG,2.2 디젤 프리미엄 스페셜,17/03식,"132,552km",디젤,"1,830"
261,그랜저 IG,2.4 프리미엄,18/06식(19년형),"76,000km",가솔린,"2,120"
262,그랜저 HG,LPG HG300 택시형,13/01식,"349,300km",LPG(일반인 구입),459
263,더 뉴 그랜저 IG,2.5 익스클루시브,20/01식,"31,260km",가솔린,"3,590"
264,그랜저 HG,LPG HG300 택시형,11/04식,"447,555km",LPG(일반인 구입),409
265,그랜저 IG,2.2 디젤 프리미엄 스페셜,17/03식(18년형),"99,525km",디젤,"2,470"
266,그랜저 HG,LPG HG300 모던,13/12식(14년형),"277,300km",LPG(일반인 구입),579
267,그랜저 TG,LPI Q270 장애인용,06/02식,"236,600km",LPG(일반인 구입),239
268,그랜저 HG,LPG HG300 이그제큐티브,11/05식,"313,400km",LPG(일반인 구입),609
269,그랜저 HG,HG240 모던,14/01식,"222,500km",가솔린,678
270,그랜저 IG,3.0 모던 베이직 (렌터카),18/06식(19년형),"11,369km",가솔린,"2,390"
271,더 뉴 그랜저 IG,2.5 스페셜,20/03식,"34,579km",가솔린,"3,250"
272,그랜저 IG 하이브리드,익스클루시브,18/06식(19년형),"137,906km",가솔린+전기,"2,210"
273,그랜저 HG,LPG HG300 프라임,11/09식,"194,595km",LPG(일반인 구입),780
274,그랜저 IG,2.2 디젤 프리미엄,18/04식,"113,045km",디젤,"1,890"
275,그랜저 IG,3.0 익스클루시브,17/07식(18년형),"42,720km",가솔린,"2,360"
276,그랜저 IG,3.0 LPi 모던 (렌터카),18/01식,"120,592km",LPG(일반인 구입),"1,660"
277,그랜저 IG,2.2 디젤 프리미엄 스페셜,18/02식,"58,443km",디젤,"2,599"
278,그랜저 IG,3.0 프리미엄,19/01식,"57,769km",가솔린,"2,460"
279,그랜저 IG,3.0 LPi 모던 (렌터카),18/11식(19년형),"121,839km",LPG(일반인 구입),"1,720"
280,그랜저 IG 하이브리드,익스클루시브,17/08식(18년형),"73,698km",가솔린+전기,"2,680"
281,더 뉴 그랜저 IG 하이브리드,캘리그래피,19/12식(20년형),"48,818km",가솔린+전기,"3,830"
282,더 뉴 그랜저 IG,2.5 프리미엄,20/03식,"42,981km",가솔린,"3,000"
283,그랜저 IG,3.0 프리미엄,19/03식,"100,735km",가솔린,"1,830"
284,그랜저 HG,HG300 노블,11/04식,"84,985km",가솔린,950
285,그랜저 HG,HG240 럭셔리,12/05식,"149,110km",가솔린,500
286,그랜저 HG,HG300 익스클루시브,14/02식,"127,403km",가솔린,"1,199"
287,그랜저 IG 하이브리드,익스클루시브 스페셜,17/10식(18년형),"40,360km",가솔린+전기,"3,070"
288,그랜저 IG,2.4 프리미엄 스페셜,16/12식(17년형),"38,631km",가솔린,"2,490"
289,그랜저 HG,HG240 럭셔리,11/11식(12년형),"155,238km",가솔린,800
290,그랜저 IG,2.4 프리미엄,18/05식,"81,685km",가솔린,"2,250"
291,그랜저 IG,3.0 익스클루시브,19/04식,"21,028km",가솔린,"2,799"
292,더 뉴 그랜저 IG 하이브리드,익스클루시브,19/12식(20년형),"25,770km",가솔린+전기,"3,730"
293,더 뉴 그랜저 IG,2.5 프리미엄 초이스,21/03식,"9,697km",가솔린,"3,330"
