,model,option,year,odometer,fuel,price,car
134,그랜저 IG,3.0 익스클루시브 스페셜,19/03식,137705,가솔린,1990,grandure
135,더 뉴 그랜저 IG,2.5 프리미엄 초이스,19/12식(20년형),18233,가솔린,3080,grandure
136,더 뉴 그랜저 IG 하이브리드,캘리그래피,21/08식(22년형),21721,가솔린+전기,4490,grandure
137,그랜저 HG,LPG HG300 이그제큐티브,12/09식,149166,LPG(일반인 구입),1330,grandure
138,그랜저 IG 하이브리드,프리미엄,19/06식,38266,가솔린+전기,2930,grandure
139,그랜저 IG,2.4 모던,19/01식,67578,가솔린,2090,grandure
140,그랜저 IG,3.0 모던 베이직 (렌터카),18/06식(19년형),113752,가솔린,1670,grandure
141,더 뉴 그랜저 IG,2.5 프리미엄 초이스,20/01식,20905,가솔린,2800,grandure
142,그랜저 IG,2.4 프리미엄,17/06식(18년형),134513,가솔린,1650,grandure
143,그랜저 IG,3.0 익스클루시브 스페셜,18/12식(19년형),73367,가솔린,2570,grandure
144,더 뉴 그랜저 IG 하이브리드,익스클루시브,20/01식,49152,가솔린+전기,3729,grandure
145,그랜저 IG,3.0 익스클루시브,18/04식,60743,가솔린,2400,grandure
146,더 뉴 그랜저 IG,2.5 프리미엄 초이스,20/02식,41245,가솔린,3130,grandure
147,그랜저 HG,LPG HG300 이그제큐티브,12/10식,69452,LPG(일반인 구입),1330,grandure
148,그랜저 TG,LPI Q270 모범형,06/01식,211732,LPG(일반인 구입),270,grandure
149,그랜저 IG,3.0 LPi 장애인용 익스클루시브 스페셜,17/11식(18년형),75026,LPG(일반인 구입),2530,grandure
150,그랜저 IG,3.0 프리미엄,19/04식,176545,가솔린,1699,grandure
151,그랜저 IG,2.4 프리미엄,17/06식(18년형),134513,가솔린,1650,grandure
152,그랜저 IG,3.0 익스클루시브 스페셜,18/12식(19년형),73367,가솔린,2570,grandure
153,더 뉴 그랜저 IG 하이브리드,익스클루시브,20/01식,49152,가솔린+전기,3729,grandure
154,그랜저 IG,3.0 익스클루시브,18/04식,60743,가솔린,2400,grandure
