,model,option,year,odometer,fuel,price,car
355,더 뉴 아반떼,1.6 VGT 스마트 기본형,13/10식(14년형),167550,디젤,599,avante
356,더 뉴 아반떼,1.6 VGT 모던 기본형,14/12식(15년형),79690,디젤,590,avante
357,아반떼 AD,1.6 터보 스포츠,17/05식(18년형),86799,가솔린,1190,avante
358,아반떼 MD,M16 GDI 프리미어,10/12식(11년형),134984,가솔린,690,avante
359,아반떼 AD,1.6 GDI 스마트,16/06식,64513,가솔린,999,avante
360,아반떼 MD,M16 GDI 모던,13/06식(14년형),114954,가솔린,730,avante
361,아반떼 HD,1.6 VVT S16 럭셔리 어드밴스팩,09/11식(10년형),114833,가솔린,430,avante
362,아반떼 AD,1.6 GDI 밸류 플러스,17/12식(18년형),39402,가솔린,1440,avante
363,아반떼 AD,1.6 GDI 모던 스페셜,15/11식(16년형),73584,가솔린,1380,avante
364,아반떼 AD,1.6 LPI 스마트(렌터카),17/04식(18년형),102038,LPG(일반인 구입),999,avante
365,아반떼 MD,M16 GDI 프리미어,11/06식,151165,가솔린,380,avante
366,아반떼 MD,M16 GDI 에비뉴,13/09식(14년형),104777,가솔린,735,avante
367,아반떼 (CN7),1.6 모던,21/02식,13850,가솔린,2020,avante
369,아반떼 AD,1.6 GDI 밸류 플러스,17/01식,82711,가솔린,1265,avante
370,아반떼 (CN7),2.0 N,21/09식(22년형),6368,가솔린,3790,avante
371,아반떼 AD,1.6 터보 스포츠,17/07식(18년형),84237,가솔린,890,avante
372,아반떼 AD,1.6 GDI 스타일,16/04식,155432,가솔린,699,avante
373,아반떼 AD,1.6 터보 스포츠 오리지널,18/09식,27167,가솔린,1690,avante
374,아반떼 AD,1.6 GDI 밸류 플러스,17/05식(18년형),77283,가솔린,1299,avante
375,아반떼 MD,M16 GDI 럭셔리,10/11식(11년형),118010,가솔린,570,avante
376,아반떼 MD,M16 GDI 프리미어,11/09식(12년형),120102,가솔린,650,avante
377,아반떼 AD,1.6 GDI 스타일,16/09식(17년형),91747,가솔린,1000,avante
378,아반떼 MD,M16 GDI 스마트,12/11식(13년형),108431,가솔린,759,avante
379,아반떼 AD,1.6 GDI 스마트,16/02식,89236,가솔린,1230,avante
380,아반떼 MD,M16 GDI 프리미어,11/07식(12년형),141480,가솔린,570,avante
381,더 뉴 아반떼,1.6 GDi 스마트 기본형,14/02식,11392,가솔린,980,avante
382,아반떼 (CN7),1.6 모던,20/05식(21년형),20709,가솔린,2180,avante
383,아반떼 AD,1.6 e-VGT 스마트,15/10식(16년형),125240,디젤,700,avante
384,아반떼 AD,1.6 e-VGT 스타일,16/12식(17년형),81957,디젤,899,avante
385,아반떼 AD,1.6 GDI 스마트,17/12식(18년형),67995,가솔린,1290,avante
386,더 뉴 아반떼 AD,1.6 스마트,19/10식(20년형),21202,가솔린,1750,avante
387,더 뉴 아반떼,1.6 GDi 스마트 기본형,14/09식(15년형),43090,가솔린,980,avante
388,아반떼 AD,1.6 GDI 스타일,17/05식(18년형),48204,가솔린,1270,avante
389,아반떼 AD,1.6 e-VGT 스마트,16/04식,125340,디젤,990,avante
390,아반떼 AD,1.6 e-VGT 스마트,16/09식(17년형),86451,디젤,930,avante
391,아반떼 MD,LPI M16 럭셔리,12/07식,189769,LPG(일반인 구입),580,avante
392,아반떼 AD,1.6 e-VGT 스타일,16/01식,142085,디젤,850,avante
393,더 뉴 아반떼 AD,1.6 디젤 스마트,19/01식,81508,디젤,1400,avante
394,아반떼 AD,1.6 GDI 밸류 플러스,17/12식(18년형),39402,가솔린,1440,avante
395,아반떼 AD,1.6 GDI 모던 스페셜,15/11식(16년형),73584,가솔린,1380,avante
