,model,option,year,odometer,fuel,price,car
3002,쏘나타 (DN8),2.0 인스퍼레이션,19/05식(20년형),46658,가솔린,2500,sonata
3003,쏘나타 하이브리드,2.0 프리미어,12/11식,129117,가솔린+전기,850,sonata
3004,YF 쏘나타,Y20 프라임 최고급형,10/01식,175666,가솔린,530,sonata
3005,YF 쏘나타,LPI 프리미어(장애인용),10/02식,155954,LPG(일반인 구입),449,sonata
3006,LF 쏘나타,LPI 택시형 스타일,17/04식,165116,LPG(일반인 구입),780,sonata
3007,쏘나타 뉴 라이즈,LPI 택시형 스타일,18/10식(19년형),209085,LPG(일반인 구입),950,sonata
3008,YF 쏘나타,Y20 프리미어 고급형,10/12식(11년형),213607,가솔린,330,sonata
3009,쏘나타 뉴 라이즈 하이브리드,프리미엄 스페셜,19/03식,38208,가솔린+전기,2330,sonata
3010,쏘나타 뉴 라이즈 하이브리드,모던,18/05식(19년형),23757,가솔린+전기,2350,sonata
3011,LF 쏘나타,LPI 모던(장애인용),14/12식(15년형),109430,LPG(일반인 구입),1179,sonata
3012,쏘나타 하이브리드 (DN8),모던,21/07식(22년형),6000,가솔린+전기,3080,sonata
3013,YF 쏘나타,LPI 프리미어(장애인용),10/03식,115092,LPG(일반인 구입),520,sonata
3015,YF 쏘나타,LPI 탑,10/03식,250493,LPG(일반인 구입),399,sonata
3016,쏘나타 더 브릴리언트,CVVL 스마트,13/01식,67650,가솔린,870,sonata
3017,쏘나타 뉴 라이즈 하이브리드,모던,18/05식(19년형),23757,가솔린+전기,2350,sonata
3018,YF 쏘나타,Y20 월드컵 스페셜 에디션,10/06식,87806,가솔린,499,sonata
3019,쏘나타 하이브리드,2.0 로열,12/01식,206000,가솔린+전기,520,sonata
3020,NF 쏘나타,N20 블랙 프리미어,07/11식(08년형),105715,가솔린,370,sonata
3021,쏘나타 더 브릴리언트,CVVL 스마트,14/03식,208417,가솔린,499,sonata
3022,YF 쏘나타,LPI 프리미어,09/12식(10년형),393223,LPG(일반인 구입),250,sonata
3023,YF 쏘나타,LPI 탑,10/10식(11년형),223733,LPG(일반인 구입),450,sonata
3024,YF 쏘나타,LPI 프리미어(장애인용),09/12식(10년형),189159,LPG(일반인 구입),499,sonata
3025,쏘나타 더 브릴리언트,LPI 모던(장애인용),13/03식,136482,LPG(일반인 구입),799,sonata
