,model,option,year,odometer,fuel,price,car
1935,싼타페 더 프라임,디젤 2.0 2WD 익스클루시브 스페셜,15/07식(16년형),73260,디젤,2070,santafe
1936,싼타페 TM,디젤 2.0 4WD 익스클루시브,18/06식(19년형),66839,디젤,2690,santafe
1937,싼타페 TM,디젤 2.0 2WD 익스클루시브 스페셜,18/11식(19년형),43189,디젤,2750,santafe
1938,싼타페 더 프라임,디젤 2.0 2WD 밸류 플러스,17/06식(18년형),66625,디젤,5000,santafe
1939,싼타페 DM,디젤(e-VGT) 2.0 2WD 프리미엄,13/02식,131874,디젤,1250,santafe
1940,싼타페 TM,디젤 2.0 4WD 익스클루시브 스페셜,18/10식(19년형),42833,디젤,2930,santafe
1941,싼타페 DM,디젤(e-VGT) 2.0 2WD 프리미엄,14/04식(15년형),181255,디젤,1150,santafe
1942,싼타페 더 프라임,디젤 2.0 2WD 익스클루시브,15/06식(16년형),98054,디젤,1870,santafe
1943,싼타페 더 프라임,디젤 2.0 2WD 익스클루시브 스페셜,16/05식,146742,디젤,1780,santafe
1944,싼타페 CM,2WD(2.0VGT) CLX 최고급형,08/01식,200327,디젤,430,santafe
1945,싼타페 더 프라임,디젤 2.2 2WD 익스클루시브 스페셜,15/07식(16년형),75549,디젤,2160,santafe
1946,싼타페 TM,디젤 2.0 2WD 익스클루시브 스페셜,18/11식(19년형),43189,디젤,2750,santafe
1947,싼타페 더 프라임,디젤 2.0 2WD 밸류 플러스,17/06식(18년형),66625,디젤,5000,santafe
1948,싼타페 DM,디젤(e-VGT) 2.0 2WD 스마트,14/01식,128887,디젤,990,santafe
1949,싼타페 TM,디젤 2.0 4WD 익스클루시브 스페셜,18/10식(19년형),42833,디젤,2930,santafe
1950,싼타페 더 프라임,디젤 2.0 2WD 익스클루시브 스페셜,15/11식(16년형),89452,디젤,1990,santafe
1951,싼타페 더 프라임,디젤 2.0 2WD 익스클루시브 스페셜,15/11식(16년형),89452,디젤,1990,santafe
1952,싼타페 더 프라임,디젤 2.0 2WD 프리미엄,16/08식,94931,디젤,1830,santafe
1953,싼타페 더 프라임,디젤 2.2 2WD 익스클루시브 스페셜,15/08식(16년형),102992,디젤,2069,santafe
1954,싼타페 DM,디젤(e-VGT) 2.0 2WD 프리미엄,15/04식,96553,디젤,1350,santafe
1955,싼타페 DM,디젤(e-VGT) 2.0 2WD 익스클루시브 스페셜,14/10식(15년형),136864,디젤,1450,santafe
1956,싼타페 TM,디젤 2.0 4WD 익스클루시브,18/07식(19년형),55815,디젤,2700,santafe
1957,싼타페 TM,가솔린 2.0T 2WD 익스클루시브 스페셜,19/07식,30592,가솔린,3090,santafe
1958,더 뉴 싼타페,디젤 2.2 2WD 프레스티지,21/02식,7420,디젤,2990,santafe
1959,싼타페 DM,디젤(e-VGT) 2.2 4WD 프리미엄,15/01식,118520,디젤,1570,santafe
1960,싼타페 더 프라임,디젤 2.2 2WD 익스클루시브,15/11식(16년형),140761,디젤,1599,santafe
1961,싼타페 더 프라임,디젤 2.2 2WD 익스클루시브 스페셜,15/08식(16년형),102992,디젤,2069,santafe
1962,싼타페 TM,디젤 2.2 4WD 프레스티지,18/02식(19년형),54043,디젤,3000,santafe
1963,싼타페 DM,디젤(e-VGT) 2.0 2WD 프리미엄,15/07식,113569,디젤,1433,santafe
1964,싼타페 CM,2WD(2.2VGT) MLX 고급형,07/02식,150327,디젤,355,santafe
1965,싼타페 CM,2WD(2.0 e-VGT) MLX 럭셔리,09/11식(10년형),176423,디젤,545,santafe
1966,싼타페 TM,디젤 2.0 4WD 익스클루시브,18/07식(19년형),55815,디젤,2700,santafe
1967,싼타페 DM,디젤(e-VGT) 2.0 2WD 프리미엄,12/10식(13년형),190278,디젤,1039,santafe
1968,싼타페 DM,디젤(e-VGT) 2.2 4WD 프리미엄,15/01식,118520,디젤,1570,santafe
1969,싼타페 CM,2WD(2.0 e-VGT) MLX 디럭스,09/10식(10년형),185000,디젤,510,santafe
1971,싼타페 CM,2WD(2.0 e-VGT) MLX 럭셔리,09/09식(10년형),216000,디젤,550,santafe
1972,싼타페 더 프라임,디젤 2.0 2WD 1 밀리언 스타일,17/03식(18년형),127000,디젤,1950,santafe
1973,싼타페 더 프라임,디젤 2.0 4WD 밸류 플러스,17/12식(18년형),117900,디젤,2100,santafe
1974,싼타페 TM,디젤 2.0 4WD 프리미엄,18/07식(19년형),19873,디젤,2750,santafe
1975,싼타페 TM,디젤 2.0 2WD 프레스티지,20/02식,36223,디젤,3140,santafe
1976,싼타페 더 프라임,디젤 2.0 2WD 익스클루시브,15/11식(16년형),106700,디젤,1870,santafe
1977,싼타페 TM,디젤 2.0 4WD 익스클루시브,18/03식(19년형),141500,디젤,2450,santafe
1978,싼타페 TM,디젤 2.2 4WD 프레스티지,18/11식(19년형),115300,디젤,2860,santafe
1979,싼타페 CM,2WD(2.2 e-VGT) SLX 프리미엄,09/11식(10년형),156451,디젤,690,santafe
1980,싼타페 DM,디젤(e-VGT) 2.0 2WD 익스클루시브,14/01식,159000,디젤,1320,santafe
1981,싼타페 TM,디젤 2.0 2WD 프리미엄,18/04식(19년형),41628,디젤,2540,santafe
1982,싼타페 TM,디젤 2.0 2WD 프레스티지,18/04식(19년형),57860,디젤,3140,santafe
1983,싼타페 TM,디젤 2.0 4WD 프리미엄,18/07식(19년형),19873,디젤,2750,santafe
1984,싼타페 DM,디젤(e-VGT) 2.0 2WD 프리미엄,13/04식,174000,디젤,1060,santafe
1985,더 뉴 싼타페,HEV 1.6 2WD 캘리그래피,21/10식(22년형),16312,가솔린+전기,4450,santafe
1986,싼타페 DM,디젤(e-VGT) 2.0 2WD 프리미엄,12/06식(13년형),138961,디젤,1180,santafe
1987,싼타페 CM,2WD(2.0VGT) 스타일팩,09/06식,126015,디젤,490,santafe
1988,더 뉴 싼타페,HEV 1.6 2WD 프레스티지,22/03식,2679,가솔린+전기,4590,santafe
1989,싼타페 DM,디젤(e-VGT) 2.0 4WD 프리미엄,15/02식,96588,디젤,1550,santafe
1990,싼타페 DM,디젤(e-VGT) 2.0 2WD 프리미엄,12/05식(13년형),165500,디젤,1190,santafe
1991,싼타페 DM,디젤(e-VGT) 2.0 2WD 익스클루시브,12/06식(13년형),212596,디젤,1090,santafe
1992,싼타페 TM,디젤 2.0 4WD 익스클루시브,18/09식(19년형),75251,디젤,2759,santafe
1993,더 뉴 싼타페,디젤 2.2 2WD 캘리그래피,20/07식(21년형),23138,디젤,3989,santafe
1994,싼타페 TM,가솔린 2.0T 2WD 인스퍼레이션,20/04식,23990,가솔린,3450,santafe
1995,싼타페 TM,디젤 2.0 4WD 익스클루시브 스페셜,18/12식(19년형),36866,디젤,2850,santafe
1996,싼타페 DM,디젤(e-VGT) 2.2 4WD 익스클루시브,13/05식,149871,디젤,1300,santafe
